uid,postnum,keywordsnum,ratio,followerscount,name
2551215110,262,23,0.087786259542,198162,丽江龙之谷客栈
2651878503,302,18,0.0596026490066,102420,王屯屯很忧郁
1991076150,1096,369,0.336678832117,197631,生活小妙招No1
1695581040,1098,225,0.204918032787,142803,福建电影制片人
1795006224,1110,98,0.0882882882883,223880,星座爱情美食
2014352004,1000,439,0.439,371266,汽车全收罗
2517669942,50,0,0.0,115404,八戒爱看我的微博
2651889143,91,13,0.142857142857,106818,路華蜜糖埕
2014356492,1000,66,0.066,259126,美容服饰妆扮
1393607040,502,35,0.0697211155378,220912,潮女玩IT
1678822501,1096,76,0.0693430656934,118673,淘宝潮牌时尚秀
2098253221,698,77,0.110315186246,103099,女性爱漂亮
2014369372,1099,192,0.174704276615,618593,体育运i动健身一族
2014375402,1007,341,0.33862959285,160319,生活资讯百宝箱
2618366745,149,10,0.0671140939597,293176,奢品luxury
2014389354,1079,225,0.208526413346,142611,会输给自己
2668706941,281,69,0.245551601423,160324,总统家网
2014395794,1000,197,0.197,142518,少女范范
1930510684,778,191,0.245501285347,155297,全球微博幽默排行榜
1880184315,1097,350,0.319051959891,108354,时尚80辣妈
1896963397,1000,136,0.136,143799,风笺影视
1880186865,1012,91,0.0899209486166,220428,萌宠全搜罗
1880190417,1013,24,0.0236920039487,221723,英文唯美语录
2651944032,1025,171,0.166829268293,220907,房地产赎楼贷款过户办证绿转红本
2098298085,219,12,0.0547945205479,112251,摄影师小竹
1662101063,1099,67,0.0609645131938,183203,做最美丽女人
2249309030,281,6,0.0213523131673,113198,大EE_晓龙
2047988564,684,460,0.672514619883,213085,袁百川_野派营销
1880222353,1093,234,0.214089661482,218514,搞笑潮流街拍
2014446610,980,30,0.030612244898,142604,时尚资讯风向标
2014447530,1079,41,0.0379981464319,142510,时尚丽质女人
1846676283,372,25,0.0672043010753,189358,伯纳乌小七
1880231455,1098,211,0.192167577413,108021,围脖爆笑大搜罗
1863455635,1000,115,0.115,124561,邹文静微博
2083368823,608,99,0.162828947368,222947,热点潮流榜
1947351154,211,65,0.308056872038,161429,中国牌王-郑太顺
1041390484,50,14,0.28,102826,峰峰儿
1964138103,1097,195,0.17775752051,154384,多乐士安全套官方微博
1276277451,127,12,0.0944881889764,200360,创意英语
1689604127,941,291,0.309245483528,100946,高荣鑫信佛
1578269297,1002,328,0.327345309381,208482,高调名车集
1877691951,1001,390,0.38961038961,137300,环球旅游胜地
2534578990,1000,39,0.039,139901,天韵琴筝润韵乐器
1880272791,1000,135,0.135,110101,写给水瓶座的心里话
1829947144,305,71,0.232786885246,138030,狼道BLOG
1880286173,1000,161,0.161,220788,有没有一句话曾经打动你
2282939902,1015,145,0.142857142857,273963,美酒鉴赏
2031295205,961,418,0.434963579605,130574,数码it风向标
2055418447,300,29,0.0966666666667,207523,手机百事通通通
1762869643,143,22,0.153846153846,103245,纸艺diy
1813204121,31,35,1.12903225806,100148,中国奢侈品贸易委员会官博
1880314887,1000,379,0.379,415282,我们旅行在路上
2165528261,870,286,0.328735632184,209141,爱摄影吧
1678989222,465,140,0.301075268817,189110,奇石王丽阳
1880327847,1000,201,0.201,377179,星座心语心理学
2115211104,898,22,0.0244988864143,100404,王大臣子
2182321537,1000,141,0.141,276768,全球鲜花坊
2081659805,396,74,0.186868686869,129016,XM机车党-Awen
1913888373,668,129,0.193113772455,334976,路彩景观科技
2182329043,146,40,0.27397260274,101301,向诚
1142148500,31,11,0.354838709677,100037,东方凯臣
2128126880,3,0,0.0,105808,-2yZONE-
1779685177,1099,134,0.121929026388,109297,一渡口官方微博
2132010055,1098,159,0.144808743169,131728,嘉柏俪网络小秘
1662248857,1000,304,0.304,363095,围脖最新热门搜罗
1842915883,74,10,0.135135135135,127635,多多嫁衣
1846813332,1000,168,0.168,108692,我们儿都是处女座
2685676143,154,18,0.116883116883,109271,作业朩
2668899703,193,97,0.502590673575,107514,物联网实况旅游
1830039205,100,8,0.08,201446,围脖经典时间
1697516207,1095,240,0.219178082192,100426,妈咪宝贝在旅途
2508416955,803,55,0.0684931506849,105287,时尚心语mylove
2652141161,249,108,0.433734939759,102268,朱旨皓
2366928900,310,29,0.0935483870968,106024,锐尚汇
1636197615,953,165,0.173137460651,100148,围脖最热门
1880400933,527,37,0.0702087286528,165523,唯美英文小屋
2316613924,137,105,0.766423357664,114257,俊诚传媒
1863630411,242,31,0.128099173554,116134,英式英文_STANLEY
2196690997,1099,95,0.0864422202002,228729,Mrancesca
1679091894,1643,557,0.339013998783,101316,马永安
1830087431,106,8,0.0754716981132,243078,銑楛後铦
1662318333,1000,294,0.294,194328,最时尚热门榜
2517956465,375,13,0.0346666666667,100862,我们因游戏而2b
1662323423,1099,206,0.187443130118,460860,最新热点资讯
2147713670,336,17,0.0505952380952,104383,廣州模特平臺
1898852440,1098,214,0.194899817851,108220,全球腐女
1561676465,1,1,1.0,112997,我是小房房
1914002151,1000,140,0.14,141955,3D木门官方微博
2249546784,703,177,0.251778093883,108420,乱世猎人盛世佳人
2249549132,659,103,0.156297420334,110071,心理学教科书
2609091457,1099,890,0.80982711556,107797,域名城
2249553924,678,45,0.0663716814159,110326,猫叔与猫扑
1863678473,954,59,0.0618448637317,100319,尐豬oo
2249554732,385,83,0.215584415584,108810,我不蛋疼你蛋疼
1796571023,636,102,0.160377358491,133176,英语学习励志与指导
1901447423,1000,145,0.145,111500,我们儿都是双鱼座
1914012273,1099,511,0.464968152866,104807,北京生生医院
1897237675,415,37,0.089156626506,163256,EXO_鹿Ray杰
2617481237,351,7,0.019943019943,100386,snoopy儿童羽绒服
1662358802,1000,348,0.348,195453,好东东要一起分享
2081790641,324,19,0.0586419753086,121756,方鑫blog
1863687703,447,6,0.0134228187919,133945,CcCc_陈达
2472079862,1100,132,0.12,385994,上海城市热点
1595256765,1098,233,0.212204007286,1407196,XXOO那些玩意儿
2350232037,1011,69,0.0682492581602,192325,潮女潮男风向标
2501230060,939,71,0.0756123535676,145926,艺考快报
2618673222,577,83,0.143847487002,110009,最懂天秤座
1662378847,1098,120,0.109289617486,208952,围脖热话题
1662381445,1000,62,0.062,193971,美丽时尚我做主
2450926151,1099,340,0.309372156506,184001,国门1号
2467703952,399,34,0.0852130325815,110335,两性幽默
1662399347,1000,307,0.307,337642,最热门电影榜
1846949204,133,14,0.105263157895,190641,情感泪
2232835774,46,14,0.304347826087,107791,鸭梨e小姐
2534825792,693,5,0.00721500721501,101588,欧美国际一线品牌外贸女装
1662413350,1000,292,0.292,355708,辣妈萌娃
2685824231,848,74,0.0872641509434,120784,代号M3
1662417282,1000,92,0.092,446792,全球IT数码风尚
1662419711,1000,313,0.313,447581,时尚汽车前线
1662422523,1099,192,0.174704276615,447136,全球时尚E族
1662423201,1098,215,0.195810564663,447114,最时尚创意工坊
1427542372,447,74,0.165548098434,112576,知情波博士
2350292457,948,69,0.0727848101266,221245,精品淘宝店铺推荐
1662426894,1000,560,0.56,316933,职场资讯快报
2309912535,1099,93,0.0846223839854,237441,阳阳爱时尚
2467086162,1098,160,0.145719489982,104913,搞笑门
1841560185,276,45,0.163043478261,100930,汽车我最牛
1863767541,617,61,0.0988654781199,101750,王华valen
2350308874,674,10,0.0148367952522,119817,皮卡丘精选
1628900195,777,55,0.0707850707851,118795,谷子吃大米
2460910884,70,1,0.0142857142857,102808,睡不醒的妖刀姑娘
1511465147,1003,107,0.10667996012,108139,星座物语_2012
1628906351,51,6,0.117647058824,193616,全球女人私房话
2098669952,629,130,0.206677265501,106980,千锤钉
2467769533,699,17,0.0243204577969,136489,潮流罐罐
2669099877,598,40,0.066889632107,123963,最新时尚潮流风
2081903012,1096,240,0.21897810219,389985,原创唯美语录
2551672874,158,35,0.221518987342,212728,御鑫机构
2014811152,734,122,0.16621253406,104875,宋洋Vincent
2098712004,1095,94,0.0858447488584,137651,美颜专家
1689166591,315,17,0.0539682539683,105891,妖娆快快
2098717840,1102,300,0.2722323049,107015,玫瑰旅行志
2670635253,372,32,0.0860215053763,123659,-我们都爱宫崎骏-
2115500982,122,11,0.0901639344262,220139,淘宝电子画册
2249724302,631,125,0.198098256735,114466,Only图个新鲜
2098733454,1000,99,0.099,176424,钻石车神榜
2367169701,763,61,0.0799475753604,102363,boss型英
1662526980,1000,38,0.038,384671,食美食全
2534946864,219,52,0.237442922374,198651,做最潮的淘宝控
2316845263,1000,105,0.105,229128,采集网
1897414904,1095,411,0.375342465753,389340,全球畅销书排行榜
1662535225,1000,142,0.142,145531,女孩心情心语
1880642145,324,40,0.123456790123,105057,amado张剑-希腊
1662539363,1004,168,0.167330677291,217682,女人-爱漂亮
